@W: CS141 :"/home/master/xuantie/wujian100_open/soc/common.v":28:28:28:36|Unrecognized synthesis directive infer_mux. Verify the correct directive name.
@W: CG1337 :"/home/master/xuantie/wujian100_open/soc/apb0.v":140:8:140:14|Net pslverr is not declared.
@W: CG1337 :"/home/master/xuantie/wujian100_open/soc/apb1.v":140:8:140:14|Net pslverr is not declared.
@W: CG133 :"/home/master/xuantie/wujian100_open/soc/gpio0.v":659:8:659:8|Object i is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/master/xuantie/wujian100_open/soc/common.v":63:7:63:21|Object clk_en_af_latch is declared but not assigned. Either assign a value or remove the declaration.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":3927:0:3927:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":8099:0:8099:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":8695:0:8695:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":9291:0:9291:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":9887:0:9887:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":10483:0:10483:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":11079:0:11079:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":11675:0:11675:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":12271:0:12271:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":12867:0:12867:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":4523:0:4523:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":5119:0:5119:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":5715:0:5715:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":6311:0:6311:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":6907:0:6907:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL207 :"/home/master/xuantie/wujian100_open/soc/dmac.v":7503:0:7503:5|All reachable assignments to we_prot assign 1, register removed by optimization.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/matrix.v":355:3:355:8|Pruning unused register rd_data_q[76:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/matrix.v":330:3:330:8|Pruning unused register empty_q. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/matrix.v":127:3:127:8|Pruning unused register rd_data_q[34:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/matrix.v":102:3:102:8|Pruning unused register empty_q. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/tim.v":340:0:340:5|Pruning unused register timer1_int_ff1. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/tim.v":340:0:340:5|Pruning unused register timer1_int_ff2. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/tim.v":340:0:340:5|Pruning unused register timer2_int_ff1. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/tim.v":340:0:340:5|Pruning unused register timer2_int_ff2. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/tim.v":508:0:508:5|Pruning unused register extend2. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/tim.v":508:0:508:5|Pruning unused register extend3. Make sure that there are no unused intermediate registers.
@W: CG360 :"/home/master/xuantie/wujian100_open/soc/tim.v":591:46:591:59|Removing wire bus_load_value, as there is no assignment to it.
@W: CL265 :"/home/master/xuantie/wujian100_open/soc/usi0.v":2563:0:2563:5|Removing unused bit 3 of sd1_in_d[3:0]. Either assign all bits or reduce the width of the signal.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/usi0.v":390:0:390:5|Optimizing register bit prdata[24] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/usi0.v":390:0:390:5|Optimizing register bit prdata[25] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/usi0.v":390:0:390:5|Optimizing register bit prdata[26] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/usi0.v":390:0:390:5|Optimizing register bit prdata[27] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/usi0.v":390:0:390:5|Optimizing register bit prdata[28] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/usi0.v":390:0:390:5|Optimizing register bit prdata[29] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/usi0.v":390:0:390:5|Optimizing register bit prdata[30] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/usi0.v":390:0:390:5|Optimizing register bit prdata[31] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"/home/master/xuantie/wujian100_open/soc/usi0.v":390:0:390:5|Pruning register bits 31 to 24 of prdata[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/usi0.v":3262:0:3262:5|Pruning unused register full_d. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/wdt.v":108:0:108:5|Pruning unused register extend. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/wdt.v":92:0:92:5|Pruning unused register ext_rise_edge. Make sure that there are no unused intermediate registers.
@W: CG133 :"/home/master/xuantie/wujian100_open/soc/wdt.v":188:28:188:40|Object prev_zero_cnt is declared but not assigned. Either assign a value or remove the declaration.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/wdt.v":205:0:205:5|Pruning unused register extend. Make sure that there are no unused intermediate registers.
@W: CG360 :"/home/master/xuantie/wujian100_open/soc/wdt.v":622:35:622:41|Removing wire byte_en, as there is no assignment to it.
@W: CG360 :"/home/master/xuantie/wujian100_open/soc/wdt.v":638:35:638:44|Removing wire wdt_clk_en, as there is no assignment to it.
@W: CG360 :"/home/master/xuantie/wujian100_open/soc/wdt.v":640:35:640:39|Removing wire pause, as there is no assignment to it.
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 1 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 2 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 3 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 4 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 5 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 6 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 7 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 14 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 15 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 22 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1763:16:1763:25|No assignment to bit 23 of int_pwmic1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1764:16:1764:25|No assignment to bit 6 of int_pwmic2
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1764:16:1764:25|No assignment to bit 7 of int_pwmic2
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1764:16:1764:25|No assignment to bit 14 of int_pwmic2
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1764:16:1764:25|No assignment to bit 15 of int_pwmic2
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 1 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 2 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 3 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 4 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 5 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 6 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 7 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 14 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 15 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 22 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1765:16:1765:28|No assignment to bit 23 of int_pwminten1
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1766:16:1766:28|No assignment to bit 6 of int_pwminten2
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1766:16:1766:28|No assignment to bit 7 of int_pwminten2
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1766:16:1766:28|No assignment to bit 14 of int_pwminten2
@W: CG134 :"/home/master/xuantie/wujian100_open/soc/pwm.v":1766:16:1766:28|No assignment to bit 15 of int_pwminten2
@W: CL260 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":9615:0:9615:5|Pruning register bit 0 of ibus_prot_reg[3:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":12997:0:12997:5|Pruning unused register mad_neg. Make sure that there are no unused intermediate registers.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":13100:0:13100:5|Optimizing register bit cur_st[2] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":13100:0:13100:5|Pruning register bit 2 of cur_st[2:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":17243:0:17243:5|Optimizing register bit cur_state[3] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":17243:0:17243:5|Pruning register bit 3 of cur_state[3:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL113 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":6880:0:6880:5|Feedback mux created for signal mprv. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL250 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":6880:0:6880:5|All reachable assignments to mprv assign 0, register removed by optimization
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":6887:0:6887:5|Optimizing register bit pm[0] to a constant 1. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":6887:0:6887:5|Optimizing register bit pm[1] to a constant 1. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":6887:0:6887:5|Pruning unused register pm[1:0]. Make sure that there are no unused intermediate registers.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":964:0:964:5|Optimizing register bit cross_cur_st[2] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":964:0:964:5|Pruning register bit 2 of cross_cur_st[2:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL265 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":22108:0:22108:5|Removing unused bit 1 of A1861e[1:0]. Either assign all bits or reduce the width of the signal.
@W: CL271 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":2209:0:2209:5|Pruning unused bits 5 to 4 of nlbits_7[5:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":2209:0:2209:5|Optimizing register bit nmbits[0] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":2209:0:2209:5|Optimizing register bit nmbits[1] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":2209:0:2209:5|Optimizing register bit nlbits[2] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":2209:0:2209:5|Optimizing register bit nlbits[3] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL169 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":2209:0:2209:5|Pruning unused register nmbits[1:0]. Make sure that there are no unused intermediate registers.
@W: CL279 :"/home/master/xuantie/wujian100_open/soc/E902_20191018.v":2209:0:2209:5|Pruning register bits 3 to 2 of nlbits[3:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
